business_name,text,predicted_label,prediction_reason
Bluebird Taproom,"Try our new succulent sets and get 20% off. Limited-time only, swing by today.",advertisement,Contains explicit discount percentage
Maple Bike Shop,Enjoy 20% off with every wood-fired pizzas. Available exclusively if you reserve a table.,advertisement,Contains explicit discount percentage
Silverleaf Music Academy,Special deal at bubble teas: enjoy 20% off when you grab yours before until supplies last.,advertisement,Contains explicit discount percentage
Crimson Dental Studio,Special deal at tandoori specials: enjoy buy 1 get 1 free when you join today before for the next 48 hours.,advertisement,Includes giveaway/freebie or BOGO promotion
Rosewood Trattoria,Our wood-fired pizzas is now just $29. Grab this deal before by Friday.,advertisement,Highlights specific price anchor as promotion
Nova Kitchen,Celebrate with us—bonus class included on all signature burgers this this weekend. Don’t miss out!,advertisement,Time-limited call-to-action
Skyline Wine Bar,Our tomahawk steaks is now just $99. Grab this deal before for the next 48 hours.,advertisement,Highlights specific price anchor as promotion
Starlight Tech Repair,Celebrate with us—a free sample gift on all taco trios this this week. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Nova Auto Detailing,"Looking for the best stationery bundles? We’ve got you covered with bonus class included, valid by Sunday night.",advertisement,Promotional tone with call-to-action
Skyline Pet Supply,Join now and receive 30% off on your first eye exams. grab yours!,advertisement,Contains explicit discount percentage
Stonebridge Pilates Studio,Our ramen bowls is now just $99. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Stonebridge Gelateria,Our signature burgers is now just $99. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Nova Florist,Our cold brew coffee is now just $19. Grab this deal before all of September.,advertisement,Highlights specific price anchor as promotion
Amber Eye Clinic,"Looking for the best gel manicures? We’ve got you covered with 50% off, valid today.",advertisement,Contains explicit discount percentage
Oakwood Bistro,Celebrate with us—a free topping on all wine tastings this today. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Nova Garden Center,Join now and receive 50% off on your first sushi platters. swing by!,advertisement,Contains explicit discount percentage
Aspen Yoga Studio,Our bootcamp classes is now just $39. Grab this deal before until supplies last.,advertisement,Highlights specific price anchor as promotion
Nova Music Academy,First-time visitors get a free sample gift for tandoori specials. Offer ends by Friday.,advertisement,Includes giveaway/freebie or BOGO promotion
Pearl Sushi Bar,First-time visitors get bonus class included for eye exams. Offer ends before month-end.,advertisement,Time-limited call-to-action
Maple Barbershop,Join now and receive bonus class included on your first taco trios. preorder!,advertisement,Promotional tone with call-to-action
Marble Pet Supply,Celebrate with us—buy 1 get 1 free on all ramen bowls this today. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Cedar Pet Supply,"Looking for the best taco trios? We’ve got you covered with 50% off, valid today.",advertisement,Contains explicit discount percentage
Maple Pizzeria,"Try our new deep tissue massages and get complimentary drink. Limited-time only, visit us today.",advertisement,Time-limited call-to-action
Cedar Burger Joint,Our teeth whitening is now just $59. Grab this deal before by Sunday night.,advertisement,Highlights specific price anchor as promotion
Crimson Cafe,Enjoy a free sample gift with every stationery bundles. Available exclusively if you join today.,advertisement,Includes giveaway/freebie or BOGO promotion
Skyline Garden Center,"Looking for the best deep tissue massages? We’ve got you covered with free delivery, valid before month-end.",advertisement,Includes giveaway/freebie or BOGO promotion
Stonebridge Burger Joint,Don’t wait—50% off across all stationery bundles. Offer ends all of September.,advertisement,Contains explicit discount percentage
Pearl Music Academy,Special deal at sourdough loaves: enjoy a free side when you reserve a table before this weekend.,advertisement,Includes giveaway/freebie or BOGO promotion
Fairview Diner,Love eye exams? Take advantage of our 30% off happening this weekend.,advertisement,Contains explicit discount percentage
Bamboo Sushi Bar,Special deal at signature burgers: enjoy bonus class included when you preorder before by Sunday night.,advertisement,Promotional tone with call-to-action
Pearl Fitness Club,Join now and receive free delivery on your first wood-fired pizzas. book online!,advertisement,Includes giveaway/freebie or BOGO promotion
Harbor Kitchen,Special deal at sushi platters: enjoy 20% off when you download our app before by Sunday night.,advertisement,Contains explicit discount percentage
Urban Nail Spa,First-time visitors get complimentary drink for stationery bundles. Offer ends before month-end.,advertisement,Time-limited call-to-action
Riverstone Barbershop,Our hair coloring packages is now just $89. Grab this deal before for the next 48 hours.,advertisement,Highlights specific price anchor as promotion
Moonrise Day Spa,"Looking for the best hair coloring packages? We’ve got you covered with a free sample gift, valid all of September.",advertisement,Includes giveaway/freebie or BOGO promotion
Willow Steakhouse,Join now and receive buy 1 get 1 free on your first deep tissue massages. book online!,advertisement,Includes giveaway/freebie or BOGO promotion
Riverstone Bike Shop,"Looking for the best gel manicures? We’ve got you covered with 20% off, valid this weekend.",advertisement,Contains explicit discount percentage
Sunset Bookshop,Enjoy 20% off with every cold brew coffee. Available exclusively if you download our app.,advertisement,Contains explicit discount percentage
Amber Auto Detailing,"Try our new deep tissue massages and get a free side. Limited-time only, book online today.",advertisement,Includes giveaway/freebie or BOGO promotion
Riverstone Bistro,"Try our new gel manicures and get 50% off. Limited-time only, preorder today.",advertisement,Contains explicit discount percentage
Summit Eye Clinic,Love signature burgers? Take advantage of our 30% off happening before month-end.,advertisement,Contains explicit discount percentage
Bamboo Hair Lounge,First-time visitors get a free topping for wine tastings. Offer ends by Friday.,advertisement,Includes giveaway/freebie or BOGO promotion
Saffron Gelateria,"Looking for the best bubble teas? We’ve got you covered with buy 1 get 1 free, valid until supplies last.",advertisement,Includes giveaway/freebie or BOGO promotion
Cobalt Garden Center,"Try our new wine tastings and get free delivery. Limited-time only, swing by today.",advertisement,Includes giveaway/freebie or BOGO promotion
Copper Hair Lounge,Celebrate with us—buy 1 get 1 free on all ramen bowls this before month-end. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Riverstone Pâtisserie,Love gel manicures? Take advantage of our free delivery happening all of September.,advertisement,Includes giveaway/freebie or BOGO promotion
Cedar Tech Repair,First-time visitors get 50% off for bootcamp classes. Offer ends before month-end.,advertisement,Contains explicit discount percentage
Cedar Burger Joint,First-time visitors get a free sample gift for wood-fired pizzas. Offer ends this week.,advertisement,Includes giveaway/freebie or BOGO promotion
Bluebird Florist,Join now and receive 50% off on your first teeth whitening. book online!,advertisement,Contains explicit discount percentage
Maple Pâtisserie,"Looking for the best bubble teas? We’ve got you covered with 20% off, valid today.",advertisement,Contains explicit discount percentage
Rosewood Auto Detailing,First-time visitors get a free side for stationery bundles. Offer ends this weekend.,advertisement,Includes giveaway/freebie or BOGO promotion
Starlight Day Spa,Our espresso drinks is now just $39. Grab this deal before this weekend.,advertisement,Highlights specific price anchor as promotion
Amber Garden Center,"Try our new taco trios and get bonus class included. Limited-time only, join today today.",advertisement,Time-limited call-to-action
Sunset Steakhouse,Join now and receive 50% off on your first gel manicures. order now!,advertisement,Contains explicit discount percentage
Urban Hair Lounge,Join now and receive 30% off on your first signature burgers. reserve a table!,advertisement,Contains explicit discount percentage
Fairview Taproom,Love signature burgers? Take advantage of our a free side happening today.,advertisement,Includes giveaway/freebie or BOGO promotion
Skyline Cafe,Our succulent sets is now just $59. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Nova Wine Bar,Don’t wait—bonus class included across all dental cleanings. Offer ends today.,advertisement,Time-limited call-to-action
Nova Dental Studio,"Try our new deep tissue massages and get 20% off. Limited-time only, download our app today.",advertisement,Contains explicit discount percentage
Amber Florist,Enjoy 20% off with every signature burgers. Available exclusively if you download our app.,advertisement,Contains explicit discount percentage
Cobalt Garden Center,First-time visitors get 30% off for bootcamp classes. Offer ends until supplies last.,advertisement,Contains explicit discount percentage
Ivy Taproom,First-time visitors get 30% off for climbing day passes. Offer ends all of September.,advertisement,Contains explicit discount percentage
Rosewood Burger Joint,Our wood-fired pizzas is now just $69. Grab this deal before until supplies last.,advertisement,Highlights specific price anchor as promotion
Copper Car Wash,Don’t wait—complimentary drink across all hair coloring packages. Offer ends until supplies last.,advertisement,Time-limited call-to-action
Silverleaf Music Academy,Our signature burgers is now just $79. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Fairview Wine Bar,Don’t wait—buy 1 get 1 free across all succulent sets. Offer ends until supplies last.,advertisement,Includes giveaway/freebie or BOGO promotion
Nova Sushi Bar,Special deal at espresso drinks: enjoy free delivery when you visit us before this week.,advertisement,Includes giveaway/freebie or BOGO promotion
Luna Coffee Roasters,Love deep tissue massages? Take advantage of our complimentary drink happening for the next 48 hours.,advertisement,Promotional tone with call-to-action
Pearl Tea House,"Try our new yoga passes and get buy 1 get 1 free. Limited-time only, sign up today.",advertisement,Includes giveaway/freebie or BOGO promotion
Crimson Music Academy,Love bootcamp classes? Take advantage of our 30% off happening until supplies last.,advertisement,Contains explicit discount percentage
Bamboo Burger Joint,Don’t wait—a free side across all climbing day passes. Offer ends until supplies last.,advertisement,Includes giveaway/freebie or BOGO promotion
Oakwood Climb Gym,Enjoy a free topping with every deep tissue massages. Available exclusively if you order now.,advertisement,Includes giveaway/freebie or BOGO promotion
Stonebridge Kitchen,Enjoy 50% off with every sushi platters. Available exclusively if you book online.,advertisement,Contains explicit discount percentage
Juniper Music Academy,Special deal at tomahawk steaks: enjoy 20% off when you grab yours before until supplies last.,advertisement,Contains explicit discount percentage
Summit Garden Center,First-time visitors get 50% off for espresso drinks. Offer ends by Sunday night.,advertisement,Contains explicit discount percentage
Crimson Osteria,Join now and receive free delivery on your first teeth whitening. download our app!,advertisement,Includes giveaway/freebie or BOGO promotion
Silverleaf Gelateria,Join now and receive a free sample gift on your first yoga passes. swing by!,advertisement,Includes giveaway/freebie or BOGO promotion
Fairview Day Spa,Enjoy buy 1 get 1 free with every dental cleanings. Available exclusively if you preorder.,advertisement,Includes giveaway/freebie or BOGO promotion
Maple Auto Detailing,Celebrate with us—complimentary drink on all fresh flower bouquets this today. Don’t miss out!,advertisement,Time-limited call-to-action
Maple Yoga Studio,Enjoy buy 1 get 1 free with every bubble teas. Available exclusively if you grab yours.,advertisement,Includes giveaway/freebie or BOGO promotion
Oakwood Steakhouse,Special deal at wood-fired pizzas: enjoy a free sample gift when you swing by before this week.,advertisement,Includes giveaway/freebie or BOGO promotion
Golden Gelateria,"Try our new wood-fired pizzas and get a free sample gift. Limited-time only, order now today.",advertisement,Includes giveaway/freebie or BOGO promotion
Copper Tutoring Center,"Looking for the best espresso drinks? We’ve got you covered with free delivery, valid until supplies last.",advertisement,Includes giveaway/freebie or BOGO promotion
Pearl Pet Supply,Special deal at gel manicures: enjoy complimentary drink when you swing by before this week.,advertisement,Time-limited call-to-action
Golden Tutoring Center,Celebrate with us—50% off on all teeth whitening this before month-end. Don’t miss out!,advertisement,Contains explicit discount percentage
Highland Pilates Studio,First-time visitors get a free side for wood-fired pizzas. Offer ends all of September.,advertisement,Includes giveaway/freebie or BOGO promotion
Seaside Yoga Studio,Love espresso drinks? Take advantage of our 30% off happening until supplies last.,advertisement,Contains explicit discount percentage
Aspen Pet Supply,"Try our new bubble teas and get a free sample gift. Limited-time only, join today today.",advertisement,Includes giveaway/freebie or BOGO promotion
Aspen Trattoria,Don’t wait—20% off across all wine tastings. Offer ends until supplies last.,advertisement,Contains explicit discount percentage
Maple Barbershop,Celebrate with us—50% off on all dental cleanings this by Sunday night. Don’t miss out!,advertisement,Contains explicit discount percentage
Cobalt Coffee Roasters,"Try our new stationery bundles and get buy 1 get 1 free. Limited-time only, sign up today.",advertisement,Includes giveaway/freebie or BOGO promotion
Bluebird Diner,Enjoy 30% off with every fresh flower bouquets. Available exclusively if you book online.,advertisement,Contains explicit discount percentage
Starlight Burger Joint,Celebrate with us—20% off on all hair coloring packages this all of September. Don’t miss out!,advertisement,Contains explicit discount percentage
Golden Cafe,Don’t wait—20% off across all stationery bundles. Offer ends this week.,advertisement,Contains explicit discount percentage
Bluebird Pâtisserie,"Try our new cold brew coffee and get buy 1 get 1 free. Limited-time only, preorder today.",advertisement,Includes giveaway/freebie or BOGO promotion
Rosewood Barbershop,Don’t wait—30% off across all wood-fired pizzas. Offer ends this week.,advertisement,Contains explicit discount percentage
Amber Tutoring Center,"Try our new climbing day passes and get 20% off. Limited-time only, join today today.",advertisement,Contains explicit discount percentage
Summit Bookshop,Our stationery bundles is now just $39. Grab this deal before today.,advertisement,Highlights specific price anchor as promotion
Bluebird Bike Shop,Celebrate with us—bonus class included on all deep tissue massages this this weekend. Don’t miss out!,advertisement,Time-limited call-to-action
Luna Tutoring Center,"Looking for the best yoga passes? We’ve got you covered with a free sample gift, valid today.",advertisement,Includes giveaway/freebie or BOGO promotion
Rustic Florist,Special deal at tandoori specials: enjoy 20% off when you order now before by Sunday night.,advertisement,Contains explicit discount percentage
Ivy Taproom,Don’t wait—complimentary drink across all bootcamp classes. Offer ends by Sunday night.,advertisement,Time-limited call-to-action
Sunset Bookshop,Don’t wait—a free side across all wood-fired pizzas. Offer ends by Sunday night.,advertisement,Includes giveaway/freebie or BOGO promotion
Ivy Gelateria,"Looking for the best sourdough loaves? We’ve got you covered with buy 1 get 1 free, valid before month-end.",advertisement,Includes giveaway/freebie or BOGO promotion
Ivy Osteria,Enjoy 50% off with every yoga passes. Available exclusively if you preorder.,advertisement,Contains explicit discount percentage
Amber Diner,Join now and receive 30% off on your first hair coloring packages. sign up!,advertisement,Contains explicit discount percentage
Amber Garden Center,"Try our new yoga passes and get 50% off. Limited-time only, book online today.",advertisement,Contains explicit discount percentage
Starlight Kitchen,"Looking for the best ramen bowls? We’ve got you covered with a free side, valid this weekend.",advertisement,Includes giveaway/freebie or BOGO promotion
Golden Dental Studio,"Try our new bootcamp classes and get free delivery. Limited-time only, sign up today.",advertisement,Includes giveaway/freebie or BOGO promotion
Rosewood Eye Clinic,Enjoy buy 1 get 1 free with every tomahawk steaks. Available exclusively if you preorder.,advertisement,Includes giveaway/freebie or BOGO promotion
Crimson Steakhouse,Join now and receive buy 1 get 1 free on your first fresh flower bouquets. book online!,advertisement,Includes giveaway/freebie or BOGO promotion
Maple Pet Supply,Love climbing day passes? Take advantage of our 20% off happening before month-end.,advertisement,Contains explicit discount percentage
Crimson Bike Shop,Love stationery bundles? Take advantage of our complimentary drink happening today.,advertisement,Time-limited call-to-action
Bluebird Car Wash,"Try our new bootcamp classes and get 50% off. Limited-time only, swing by today.",advertisement,Contains explicit discount percentage
Golden Climb Gym,Join now and receive 50% off on your first tomahawk steaks. reserve a table!,advertisement,Contains explicit discount percentage
Harbor Steakhouse,First-time visitors get 20% off for ramen bowls. Offer ends today.,advertisement,Contains explicit discount percentage
Sunset Pâtisserie,Join now and receive complimentary drink on your first signature burgers. sign up!,advertisement,Promotional tone with call-to-action
Cedar Coffee Roasters,Special deal at gel manicures: enjoy buy 1 get 1 free when you download our app before this weekend.,advertisement,Includes giveaway/freebie or BOGO promotion
Ivy Trattoria,Don’t wait—50% off across all cold brew coffee. Offer ends before month-end.,advertisement,Contains explicit discount percentage
Rustic Kitchen,Special deal at dental cleanings: enjoy bonus class included when you join today before for the next 48 hours.,advertisement,Time-limited call-to-action
Luna Pâtisserie,Special deal at wine tastings: enjoy a free side when you join today before today.,advertisement,Includes giveaway/freebie or BOGO promotion
Summit Kitchen,First-time visitors get 50% off for succulent sets. Offer ends by Friday.,advertisement,Contains explicit discount percentage
Sunset Ramen Bar,Join now and receive free delivery on your first teeth whitening. preorder!,advertisement,Includes giveaway/freebie or BOGO promotion
Highland Pâtisserie,Join now and receive free delivery on your first bubble teas. visit us!,advertisement,Includes giveaway/freebie or BOGO promotion
Crimson Nail Spa,Join now and receive bonus class included on your first taco trios. sign up!,advertisement,Promotional tone with call-to-action
Pearl Bakery,Special deal at espresso drinks: enjoy a free sample gift when you grab yours before this weekend.,advertisement,Includes giveaway/freebie or BOGO promotion
Velvet Fitness Club,Our sushi platters is now just $59. Grab this deal before for the next 48 hours.,advertisement,Highlights specific price anchor as promotion
Bamboo Cafe,Special deal at bootcamp classes: enjoy buy 1 get 1 free when you join today before this weekend.,advertisement,Includes giveaway/freebie or BOGO promotion
Stonebridge Dental Studio,Enjoy bonus class included with every wine tastings. Available exclusively if you download our app.,advertisement,Promotional tone with call-to-action
Luna Gelateria,Love succulent sets? Take advantage of our complimentary drink happening this weekend.,advertisement,Time-limited call-to-action
Highland Burger Joint,Celebrate with us—buy 1 get 1 free on all tandoori specials this before month-end. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Willow Wine Bar,Join now and receive 20% off on your first cold brew coffee. preorder!,advertisement,Contains explicit discount percentage
Stonebridge Sushi Bar,Join now and receive a free side on your first bubble teas. visit us!,advertisement,Includes giveaway/freebie or BOGO promotion
Moonrise Auto Detailing,Love dental cleanings? Take advantage of our buy 1 get 1 free happening today.,advertisement,Includes giveaway/freebie or BOGO promotion
Highland Pâtisserie,"Looking for the best fresh flower bouquets? We’ve got you covered with complimentary drink, valid all of September.",advertisement,Promotional tone with call-to-action
Stonebridge Gelateria,Don’t wait—20% off across all ramen bowls. Offer ends by Sunday night.,advertisement,Contains explicit discount percentage
Aspen Barbershop,Join now and receive buy 1 get 1 free on your first wood-fired pizzas. order now!,advertisement,Includes giveaway/freebie or BOGO promotion
Velvet Tech Repair,Our dental cleanings is now just $69. Grab this deal before by Friday.,advertisement,Highlights specific price anchor as promotion
Stonebridge Fitness Club,Don’t wait—bonus class included across all espresso drinks. Offer ends by Friday.,advertisement,Time-limited call-to-action
Skyline Nail Spa,Our espresso drinks is now just $89. Grab this deal before all of September.,advertisement,Highlights specific price anchor as promotion
Marble Kitchen,Don’t wait—a free sample gift across all dental cleanings. Offer ends this week.,advertisement,Includes giveaway/freebie or BOGO promotion
Moonrise Pet Supply,Our cold brew coffee is now just $99. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Bamboo Diner,Enjoy free delivery with every bubble teas. Available exclusively if you grab yours.,advertisement,Includes giveaway/freebie or BOGO promotion
Velvet Sushi Bar,Our yoga passes is now just $19. Grab this deal before all of September.,advertisement,Highlights specific price anchor as promotion
Maple Tea House,Enjoy 20% off with every hair coloring packages. Available exclusively if you reserve a table.,advertisement,Contains explicit discount percentage
Summit Bakery,Celebrate with us—buy 1 get 1 free on all wood-fired pizzas this today. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Skyline Pilates Studio,"Looking for the best tandoori specials? We’ve got you covered with complimentary drink, valid this week.",advertisement,Time-limited call-to-action
Saffron Bike Shop,Celebrate with us—50% off on all wine tastings this all of September. Don’t miss out!,advertisement,Contains explicit discount percentage
Marble Bike Shop,"Looking for the best dental cleanings? We’ve got you covered with a free sample gift, valid before month-end.",advertisement,Includes giveaway/freebie or BOGO promotion
Sunset Tutoring Center,Our tandoori specials is now just $59. Grab this deal before by Sunday night.,advertisement,Highlights specific price anchor as promotion
Starlight Pizzeria,Enjoy 30% off with every bootcamp classes. Available exclusively if you download our app.,advertisement,Contains explicit discount percentage
Amber Nail Spa,Our sourdough loaves is now just $29. Grab this deal before before month-end.,advertisement,Highlights specific price anchor as promotion
Luna Pilates Studio,Special deal at fresh flower bouquets: enjoy 30% off when you order now before until supplies last.,advertisement,Contains explicit discount percentage
Marble Hair Lounge,Special deal at teeth whitening: enjoy bonus class included when you book online before for the next 48 hours.,advertisement,Promotional tone with call-to-action
Sunset Car Wash,Don’t wait—a free topping across all ramen bowls. Offer ends before month-end.,advertisement,Includes giveaway/freebie or BOGO promotion
Seaside Music Academy,Special deal at wood-fired pizzas: enjoy bonus class included when you sign up before before month-end.,advertisement,Promotional tone with call-to-action
Copper Pâtisserie,Don’t wait—20% off across all yoga passes. Offer ends this week.,advertisement,Contains explicit discount percentage
Cobalt Bike Shop,Celebrate with us—bonus class included on all hair coloring packages this by Friday. Don’t miss out!,advertisement,Promotional tone with call-to-action
Golden Sushi Bar,Don’t wait—a free topping across all bubble teas. Offer ends for the next 48 hours.,advertisement,Includes giveaway/freebie or BOGO promotion
Harbor Osteria,Join now and receive a free side on your first sushi platters. order now!,advertisement,Includes giveaway/freebie or BOGO promotion
Fairview Tech Repair,Enjoy a free topping with every wine tastings. Available exclusively if you join today.,advertisement,Includes giveaway/freebie or BOGO promotion
Summit Pizzeria,Celebrate with us—a free sample gift on all climbing day passes this by Sunday night. Don’t miss out!,advertisement,Includes giveaway/freebie or BOGO promotion
Riverstone Bookshop,"Try our new stationery bundles and get a free sample gift. Limited-time only, grab yours today.",advertisement,Includes giveaway/freebie or BOGO promotion
Highland Taproom,Join now and receive complimentary drink on your first sourdough loaves. sign up!,advertisement,Promotional tone with call-to-action
Marble Nail Spa,Love wine tastings? Take advantage of our buy 1 get 1 free happening by Sunday night.,advertisement,Includes giveaway/freebie or BOGO promotion
Cedar Bistro,Enjoy a free topping with every sushi platters. Available exclusively if you join today.,advertisement,Includes giveaway/freebie or BOGO promotion
